Estimated_Insects_Count,Crop_Type,Soil_Type,Pesticide_Use_Category,Number_Doses_Week,Number_Weeks_Used,Number_Weeks_Quit,Season,Crop_Damage
188,2,1,1,0,0.0,0,1,0
209,2,1,1,0,0.0,0,2,1
257,2,1,1,0,0.0,0,2,1
257,2,2,1,0,0.0,0,2,1
342,2,1,1,0,0.0,0,2,1
448,1,2,1,0,,0,2,1
448,1,2,1,0,,0,2,1
577,2,1,1,0,0.0,0,1,2
731,1,1,1,0,0.0,0,2,0
1132,2,1,1,0,0.0,0,1,2
1212,2,1,1,0,,0,3,0
1575,1,1,1,0,0.0,0,1,1
1575,1,2,1,0,0.0,0,2,1
1575,2,2,1,0,0.0,0,2,1
1575,2,2,1,0,0.0,0,2,2
1785,2,2,1,0,0.0,0,2,1
2138,1,2,1,0,0.0,0,1,1
2401,1,2,1,0,,0,1,1
2401,2,2,1,0,0.0,0,2,1
2401,2,2,1,0,0.0,0,2,1
2999,1,2,1,0,0.0,0,3,1
3500,2,1,1,0,0.0,0,2,0
3500,2,2,1,0,0.0,0,1,1
3500,2,2,1,0,0.0,0,2,1
150,1,1,3,4,5.0,0,2,0
151,1,1,3,5,3.0,0,1,0
150,1,1,3,8,2.0,0,2,0
168,1,2,3,2,2.0,0,2,0
168,1,2,3,2,2.0,0,2,1
188,1,1,3,3,3.0,0,1,0
188,1,2,3,5,4.0,0,3,0
209,1,2,3,2,1.0,0,3,0
232,1,1,3,6,4.0,0,2,0
231,1,2,3,4,4.0,0,2,0
256,1,1,3,2,5.0,0,3,0
257,1,1,3,4,,0,2,0
256,1,1,3,5,5.0,0,1,0
283,1,1,3,3,4.0,0,1,0
283,1,1,3,6,4.0,0,2,0
283,1,2,3,2,4.0,0,3,0
283,1,2,3,6,3.0,0,1,0
312,1,1,3,1,3.0,0,3,0
311,1,1,3,2,4.0,0,1,0
312,1,2,3,2,4.0,0,2,0
312,1,2,3,2,4.0,0,2,0
342,1,1,3,8,5.0,0,2,0
342,1,2,3,5,3.0,0,3,0
375,1,1,3,6,5.0,0,2,0
375,1,2,3,0,4.0,0,1,0
375,1,2,3,2,4.0,0,2,0
375,1,2,3,1,4.0,0,3,1
411,1,1,3,4,,0,2,0
410,1,1,3,6,6.0,0,2,0
410,1,1,3,2,6.0,0,3,1
410,1,2,3,0,4.0,0,3,0
448,1,1,3,0,5.0,0,1,0
448,1,1,3,2,3.0,0,3,0
448,1,1,3,4,4.0,0,2,0
448,1,1,3,4,5.0,0,1,0
448,1,1,3,1,,0,2,1
448,1,1,3,4,,0,3,1
448,1,2,3,2,6.0,0,2,0
448,1,2,3,3,3.0,0,1,0
448,1,2,3,3,4.0,0,2,0
448,1,2,3,5,4.0,0,1,0
448,1,2,3,6,,0,2,0
448,1,2,3,8,6.0,0,1,0
448,1,2,3,9,5.0,0,3,0
488,1,1,3,2,6.0,0,3,0
488,1,1,3,3,5.0,0,3,0
488,1,1,3,4,5.0,0,2,0
488,1,1,3,4,5.0,0,3,0
488,1,1,3,8,6.0,0,1,0
488,1,1,3,1,3.0,0,1,1
488,1,1,3,2,6.0,0,1,1
488,1,2,3,1,6.0,0,2,0
488,1,2,3,2,6.0,0,2,0
489,1,2,3,3,4.0,0,1,0
488,1,2,3,8,6.0,0,1,1
531,1,1,3,0,5.0,0,1,0
531,1,1,3,2,,0,1,0
531,1,1,3,6,5.0,0,2,0
531,1,1,3,2,6.0,0,1,1
531,1,2,3,0,3.0,0,1,0
531,1,2,3,2,6.0,0,1,0
531,1,2,3,8,3.0,0,2,0
577,1,1,3,2,6.0,0,2,0
577,1,1,3,6,6.0,0,3,0
577,1,2,3,4,5.0,0,2,0
577,1,2,3,4,7.0,0,1,0
577,1,2,3,7,6.0,0,1,0
577,1,2,3,8,5.0,0,1,0
577,1,2,3,2,6.0,0,2,1
626,1,1,3,2,7.0,0,2,0
625,1,1,3,4,8.0,0,3,0
625,1,1,3,5,2.0,0,1,0
625,1,1,3,6,7.0,0,2,0
626,1,2,3,0,6.0,0,1,0
625,1,2,3,2,4.0,0,3,0
625,1,2,3,3,6.0,0,3,0
