Estimated_Insects_Count,Crop_Type,Soil_Type,Pesticide_Use_Category,Number_Doses_Week,Number_Weeks_Used,Number_Weeks_Quit,Season,Crop_Damage,kfold
2139,1,1,2,10,37.0,10,2,0,0
1212,1,2,2,15,36.0,4,2,0,0
732,1,2,2,60,25.0,7,1,0,0
1478,1,2,2,30,14.0,19,2,0,0
3500,1,1,2,25,27.0,34,1,0,0
916,2,2,3,10,32.0,0,1,0,0
1132,2,1,3,30,32.0,0,2,0,0
1212,1,1,2,20,13.0,20,3,0,0
3337,1,2,2,40,29.0,26,3,0,0
984,1,1,2,10,15.0,23,1,0,0
1786,2,1,3,45,48.0,0,2,0,0
1132,1,1,2,30,26.0,16,3,0,0
1785,1,2,2,20,16.0,25,1,0,0
1296,1,2,2,30,20.0,18,2,0,0
1297,1,2,2,15,36.0,5,2,0,0
2267,1,1,2,20,42.0,6,1,0,0
2016,1,1,2,10,48.0,5,2,0,0
2999,1,1,2,60,35.0,24,2,0,0
1212,2,1,3,10,10.0,0,2,0,0
410,1,2,1,0,0.0,0,3,0,0
2016,2,1,3,35,45.0,0,1,0,0
984,1,1,2,20,22.0,19,3,0,0
1385,1,1,2,5,23.0,20,1,0,0
1132,2,1,2,5,5.0,2,2,0,0
677,2,2,3,5,33.0,0,2,0,0
209,2,1,3,35,26.0,0,1,0,0
256,1,1,2,40,11.0,3,1,0,0
1385,2,1,2,5,9.0,31,2,0,0
1296,1,2,2,20,31.0,13,3,0,0
789,1,2,2,15,12.0,20,1,0,0
984,2,1,3,10,39.0,0,2,0,0
1576,1,2,2,10,28.0,15,1,0,0
626,2,1,2,15,7.0,18,2,0,0
1385,2,1,2,15,37.0,0,2,1,0
790,1,2,3,30,43.0,0,1,0,0
1132,2,1,2,10,10.0,8,1,0,0
488,1,1,2,80,32.0,2,1,0,0
915,2,1,2,10,19.0,15,2,0,0
1132,2,1,3,40,30.0,0,1,0,0
677,1,2,2,45,20.0,15,2,0,0
531,1,2,3,30,30.0,0,2,0,0
2015,1,1,2,40,41.0,17,2,2,0
531,1,2,2,40,18.0,8,3,0,0
984,1,1,3,30,35.0,0,3,0,0
448,1,1,3,20,30.0,0,3,1,0
731,1,1,2,60,20.0,12,2,0,0
2688,1,1,2,20,43.0,13,2,0,0
283,2,1,3,20,13.0,0,2,0,0
677,1,2,2,45,20.0,19,3,0,0
915,2,2,3,15,45.0,0,3,0,0
626,1,1,3,15,30.0,0,2,0,0
168,1,1,2,20,12.0,0,2,0,0
2401,2,1,2,10,28.0,20,2,0,0
2139,2,1,2,10,10.0,8,2,0,0
342,1,2,2,20,15.0,10,2,0,0
3337,1,2,2,20,50.0,4,1,1,0
1056,1,2,2,5,19.0,17,3,0,0
577,2,1,2,15,28.0,2,2,0,0
984,1,1,2,20,28.0,14,3,0,0
2401,1,1,3,10,54.0,0,3,1,0
1576,1,2,2,20,36.0,5,1,0,0
915,1,2,2,40,34.0,8,2,0,0
1056,2,2,3,20,18.0,0,1,0,0
1786,1,1,2,10,31.0,22,2,0,0
984,1,2,2,40,39.0,3,1,0,0
677,1,2,2,50,21.0,16,1,0,0
677,2,2,3,15,35.0,0,1,1,0
1385,1,1,2,15,17.0,18,2,0,0
531,1,1,2,20,24.0,12,1,0,0
2401,2,1,2,20,27.0,27,1,0,0
